category_name,status,last_searched_date
headphones,DONE,2025-12-10
diabetic,DONE,2025-12-10
kitchen,DONE,2025-12-10
Bathroom Counter Storage,DONE,2025-12-10
Bathroom Mirrors,DONE,2025-12-10
Toilet Brushes,,
Bathroom Scales,,
Toilet Roll Holders,,
Towel Rails & Warmers,,
Toilet Covers,,
Shower Curtains,,
Shower Caddies & Hangers,,
Bath Towels,,
Bath Mats,,
Bathrobes,,
Linen Towers & Cabinets,,
Bathroom Shelving,,
Blankets & Throws,,
"Comforters, Quilts & Duvets",,
Electric Blankets,,
Pillows & Bolsters,,
Pillow Cases,,
Pillow Protectors,,
Bed Runners & Skirts,,
Bedding Accessories,,
Bedding Sets,,
Bed Sheets,,
Mattress Pads,,
Mattress Protectors,,
Bedroom Furniture,,
Living Room Furniture,,
Kitchen & Dining Furniture,,
Kids Furniture,,
Home Office Furniture,,
Hallway & Entry Furniture,,
Gaming Furniture,,
Outdoor Furniture,,
Furniture Protectors & Parts,,
Storage Bins & Baskets,,
Shoe Organisers,,
Space Savers,,
Wardrobe Organisers,,
Medicine & First Aid Storage,,
Bike & Sports Racks,,
Deck Boxes & Balcony Storage,,
Cushions & Covers,,
Mirrors,,
Rugs & Carpets,,
Wall Decor,,
Wall Stickers & Decals,,
Tapestries & Hangings,,
Curtains,,
Decorative Accents,,
Vases & Vessels,,
Decorative Bowls,,
Picture Frames,,
Candles & Candleholders,,
Artificial Flowers & Plants,,
Aromatherapy and Home Fragrance,,
Room Dividers & Screens,,
Decorative Door Stops,,
Clocks,,
Seasonal,,
Table Decor,,
Ceiling Lights,,
Wall Lights & Sconces,,
Table Lamps,,
Floor Lamps,,
Specialty Lighting,,
Light Bulbs,,
Lighting Fixtures & Components,,
Lamp Shades,,
Bathroom Lighting,,
Outdoor Lighting,,
Kitchen Fittings,,
Kitchen Tapware,,
Bathroom Fittings,,
Bathroom Tapware,,
Traps & Drains,,
Fixture Parts & Components,,
Valves,,
Hoses & Pipes,,
Water Tank,,
Flooring,,
Window Treatments,,
Paint & Primers,,
Paint Tools & Accessories,,
Adhesives & Tape,,
Caulking,,
Sealants,,
Waterproofing,,
Wallpaper,,
Cement Mix,,
"Nails, Screws & Fasteners",,
Tarps & Tie-Downs,,
Picture Hangers & Hooks,,
Mailboxes,,
Ear Protection,,
Eye Protection,,
Head Protection,,
Knee & Elbow Pads,,
Masks & Filters,,
Safety Cones & Tape,,
